weight,#adv (success_rate),L2
0.00025,11,3.196544515380361/4.81865924483478/4.068713182278574
0.0005,53,3.676254687385157/6.15395420574662/4.845157341579915
0.001,837,3.8739197373541767/8.41326349280007/6.232779903993212
0.005,884,6.049724757626664/9.828175843146019/7.783361883225977
10000
0.00025,0.0011,3.196544515380361/4.81865924483478/4.068713182278574
0.0005,0.0053,3.676254687385157/6.15395420574662/4.845157341579915
0.001,0.0837,3.8739197373541767/8.41326349280007/6.232779903993212
0.005,0.0884,6.049724757626664/9.828175843146019/7.783361883225977
20000
0.00025,0.00055,3.196544515380361/4.81865924483478/4.068713182278574
0.0005,0.00265,3.676254687385157/6.15395420574662/4.845157341579915
0.001,0.04185,3.8739197373541767/8.41326349280007/6.232779903993212
0.005,0.0442,6.049724757626664/9.828175843146019/7.783361883225977
40000
0.00025,0.000275,3.196544515380361/4.81865924483478/4.068713182278574
0.0005,0.001325,3.676254687385157/6.15395420574662/4.845157341579915
0.001,0.020925,3.8739197373541767/8.41326349280007/6.232779903993212
0.005,0.0221,6.049724757626664/9.828175843146019/7.783361883225977
pretrained_0
0.00025,0.000275,3.196544515380361/4.81865924483478/4.068713182278574
0.0005,0.001325,3.676254687385157/6.15395420574662/4.845157341579915
0.001,0.020925,3.8739197373541767/8.41326349280007/6.232779903993212
0.005,0.0221,6.049724757626664/9.828175843146019/7.783361883225977
pretrained_1
0.00025,0.000275,3.196544515380361/4.81865924483478/4.068713182278574
0.0005,0.001325,3.676254687385157/6.15395420574662/4.845157341579915
0.001,0.020925,3.8739197373541767/8.41326349280007/6.232779903993212
0.005,0.0221,6.049724757626664/9.828175843146019/7.783361883225977
pretrained_2
0.00025,0.000275,3.196544515380361/4.81865924483478/4.068713182278574
0.0005,0.001325,3.676254687385157/6.15395420574662/4.845157341579915
0.001,0.020925,3.8739197373541767/8.41326349280007/6.232779903993212
0.005,0.0221,6.049724757626664/9.828175843146019/7.783361883225977
pretrained_3
0.00025,0.000275,3.196544515380361/4.81865924483478/4.068713182278574
0.0005,0.001325,3.676254687385157/6.15395420574662/4.845157341579915
0.001,0.020925,3.8739197373541767/8.41326349280007/6.232779903993212
0.005,0.0221,6.049724757626664/9.828175843146019/7.783361883225977
