weight,#adv (success_rate),L2
0.01,42,3.5612025260925293/6.564609527587891/4.900444030761719
0.02,748,4.9428019523620605/8.02445125579834/6.501478672027588
0.03,841,3.8452794551849365/9.199749946594238/6.6840057373046875
0.04,819,3.5546154975891113/8.517471313476562/6.0757575035095215
0.05,883,6.215936660766602/9.482731819152832/7.827347755432129
10000
0.01,0.048,3.3680739402770996/7.251013278961182/5.251020908355713
0.02,0.7564,4.877169132232666/8.308883666992188/6.585836887359619
0.03,0.8467,3.9364233016967773/9.410883903503418/6.81954288482666
0.04,0.8317,3.653203248977661/8.789048194885254/6.296250343322754
0.05,0.8913,6.175792694091797/9.678537368774414/7.931553363800049
20000
0.01,0.04945,3.4741594791412354/7.302542209625244/5.313559532165527
0.02,0.7596,4.883864402770996/8.327802658081055/6.594531536102295
0.03,0.8486,3.9634480476379395/9.413705825805664/6.8353166580200195
0.04,0.83235,3.68796968460083/8.807847023010254/6.3257904052734375
0.05,0.8937,6.17850399017334/9.707854270935059/7.940075397491455
40000
0.01,0.0515,3.5545217990875244/7.257334232330322/5.312520503997803
0.02,0.7611,4.88889217376709/8.352432250976562/6.604555606842041
0.03,0.849125,3.9718592166900635/9.426155090332031/6.849073886871338
0.04,0.834875,3.6975765228271484/8.843120574951172/6.351498126983643
0.05,0.89535,6.180594444274902/9.732038497924805/7.955030918121338
pretrained_0
0.01,0.02,3.9026870727539062/6.282912731170654/5.130415439605713
0.02,0.218,5.103724479675293/8.225037574768066/6.687270164489746
0.03,0.227,4.592255592346191/8.9868803024292/6.722200393676758
0.04,0.304,4.204346656799316/8.616303443908691/6.4223761558532715
0.05,0.72,6.186115264892578/9.482731819152832/7.8232221603393555
pretrained_1
0.01,0.003,4.400808334350586/4.714544773101807/4.550943851470947
0.02,0.033,5.751292705535889/7.4957733154296875/6.459128379821777
0.03,0.006,5.353570461273193/8.010793685913086/6.805002212524414
0.04,0.04,3.5546154975891113/7.823827266693115/5.66848087310791
0.05,0.276,6.283651351928711/9.338083267211914/7.774885654449463
pretrained_2
0.01,0.045,3.419782876968384/6.050319194793701/4.595335483551025
0.02,0.335,4.863715171813965/8.02445125579834/6.448843002319336
0.03,0.435,4.546633243560791/9.042634010314941/6.782652854919434
0.04,0.375,3.8296873569488525/8.535418510437012/6.203883647918701
0.05,0.733,6.186115264892578/9.270456314086914/7.709368705749512
pretrained_3
0.01,0.04,4.210593223571777/6.448910713195801/5.32107400894165
0.02,0.581,4.775113582611084/8.037546157836914/6.397210597991943
0.03,0.765,4.072307109832764/9.085550308227539/6.722640514373779
0.04,0.589,3.243342638015747/8.292387008666992/5.722372055053711
0.05,0.792,6.186115264892578/9.482731819152832/7.8100199699401855
