weight,#adv (success_rate),L2
0.00025,144,4.144694805145264/7.230497360229492/5.606289863586426
0.0005,192,4.586349964141846/7.98964786529541/6.199809551239014
0.001,0,#
0.002,881,4.602574825286865/8.392935752868652/6.516221523284912
0.003,881,4.8017706871032715/8.531661987304688/6.587913513183594
0.004,879,4.888099670410156/8.581844329833984/6.597182750701904
0.005,881,4.606276512145996/8.872050285339355/6.701508522033691
10000
0.00025,0.1517,4.144694805145264/7.267566680908203/5.64680290222168
0.0005,0.2176,4.656098365783691/7.914151668548584/6.232676029205322
0.001,0.0,#
0.002,0.8881,4.584078311920166/8.516061782836914/6.567438125610352
0.003,0.8912,4.7069010734558105/8.752936363220215/6.649186611175537
0.004,0.888,4.77018404006958/8.772008895874023/6.674534797668457
0.005,0.8878,4.601706027984619/8.983536720275879/6.76854133605957
20000
0.00025,0.1603,4.170754909515381/7.321862697601318/5.693240165710449
0.0005,0.2314,4.669610500335693/7.9618024826049805/6.260571479797363
0.001,0.0,#
0.002,0.8889,4.590141296386719/8.522693634033203/6.5730061531066895
0.003,0.89365,4.7132697105407715/8.768736839294434/6.6598639488220215
0.004,0.8901,4.759220600128174/8.783093452453613/6.678736209869385
0.005,0.89115,4.6111955642700195/8.986674308776855/6.776462078094482
40000
0.00025,0.164125,4.16343355178833/7.315340518951416/5.7005295753479
0.0005,0.23455,4.668026447296143/7.963690280914307/6.26280403137207
0.001,0.0,#
0.002,0.89025,4.571394443511963/8.540969848632812/6.566307544708252
0.003,0.895125,4.700921535491943/8.785573959350586/6.664703845977783
0.004,0.891875,4.6924333572387695/8.811545372009277/6.6850905418396
0.005,0.89265,4.590031147003174/9.011866569519043/6.777601718902588
pretrained_0
0.00025,0.086,4.770293235778809/7.43865966796875/6.226945400238037
0.0005,0.092,5.151612281799316/8.313647270202637/6.73043966293335
0.001,0.0,#
0.002,0.167,5.766077995300293/8.738771438598633/7.258322715759277
0.003,0.048,5.2259135246276855/8.430004119873047/6.637264728546143
0.004,0.353,5.211513519287109/8.98675537109375/7.040762424468994
0.005,0.022,7.9375128746032715/10.25839900970459/8.909300804138184
pretrained_1
0.00025,0.014,4.909797668457031/7.374782562255859/5.9361443519592285
0.0005,0.017,5.514612674713135/7.914151668548584/6.790616035461426
0.001,0.0,#
0.002,0.101,4.8208465576171875/7.169580936431885/5.841620445251465
0.003,0.078,5.2259135246276855/8.084692001342773/6.454138278961182
0.004,0.209,5.089395999908447/7.951347351074219/6.404402256011963
0.005,0.011,5.91358757019043/6.646154880523682/6.316168785095215
pretrained_2
0.00025,0.104,4.083393573760986/6.409111499786377/5.266999244689941
0.0005,0.161,4.610507011413574/7.490554332733154/5.986907005310059
0.001,0.0,#
0.002,0.698,4.563055515289307/8.082542419433594/6.327528476715088
0.003,0.296,5.040023326873779/7.6782941818237305/6.251795768737793
0.004,0.645,4.951042652130127/8.550882339477539/6.579046726226807
0.005,0.504,4.275427341461182/8.918153762817383/6.543675899505615
pretrained_3
0.00025,0.042,4.610434532165527/6.704685211181641/5.7004594802856445
0.0005,0.046,4.8887834548950195/7.8474578857421875/6.13646125793457
0.001,0.0,#
0.002,0.668,4.839838981628418/8.268951416015625/6.554732799530029
0.003,0.485,5.067805767059326/8.447092056274414/6.632861614227295
0.004,0.768,5.036990642547607/8.614812850952148/6.763087749481201
0.005,0.763,4.781169414520264/8.851747512817383/6.7351579666137695
